Product Name,Price,Product Link,Rating (%),Image URL
N/A,N/A,https://www.daraz.pk//www.daraz.pk/bedsheets?up_id=143070433&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__10000404__143070433__static__0.1__158061__7253&from=hp_categories&item_id=143070433&version=v2&params=%7B%22catIdLv1%22%3A%2210000335%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%D8%A8%D8%B3%D8%AA%D8%B1+%DA%A9%DB%8C+%DA%86%D8%A7%D8%AF%D8%B1%DB%8C%DA%BA%22%2C%22categoryId%22%3A%2210000404%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/bd0dcba59e901c88d63988b619cdd54a.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/blocks-&-building-toys?up_id=461713403&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__1420__461713403__static__0.1__158061__7253&from=hp_categories&item_id=461713403&version=v2&params=%7B%22catIdLv1%22%3A%221347%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22Blocks+%26+Building+Toys%22%2C%22categoryId%22%3A%221420%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/a6d6ee60fd01480c4637716035cc9d30.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/knife-sharpeners-1?up_id=544418890&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__10000790__544418890__static__0.1__158061__7253&from=hp_categories&item_id=544418890&version=v2&params=%7B%22catIdLv1%22%3A%2210000339%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%DA%86%DA%BE%D8%B1%DB%8C+%D8%AA%DB%8C%D8%B2+%DA%A9%D8%B1%D9%86%DB%92+%D9%88%D8%A7%D9%84%D8%A7+%D8%A7%D9%88%D8%B1+%D8%A8%D9%84%D8%A7%DA%A9%D8%B3%22%2C%22categoryId%22%3A%2210000790%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/g/kf/S84106ae83a054029973cc8b488562165Y.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/battling-tops-games?up_id=213943845&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__9368__213943845__static__0.1__158061__7253&from=hp_categories&item_id=213943845&version=v2&params=%7B%22catIdLv1%22%3A%229067%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%D8%A8%DB%8C%D9%B9%D9%84%D9%86%DA%AF+%D9%B9%D8%A7%D9%BE%22%2C%22categoryId%22%3A%229368%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/4eaa38bc0b91256a9ea4dbfff8e07ecf.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/audio-microphones-28?up_id=545570413&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__152__545570413__static__0.1__158061__7253&from=hp_categories&item_id=545570413&version=v2&params=%7B%22catIdLv1%22%3A%22147%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22Microphones%22%2C%22categoryId%22%3A%22152%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/60b5f511d1bf4d87ad4b6aff8cdb22bd.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/charity-zakat?up_id=142732303&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__10003075__142732303__static__0.1__158061__7253&from=hp_categories&item_id=142732303&version=v2&params=%7B%22catIdLv1%22%3A%2210003038%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%D8%B2%DA%A9%D9%88%D9%B0%DB%83%22%2C%22categoryId%22%3A%2210003075%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/1a1851ee7eb02e5589d19aec7feaa26f.png_170x170q80.png_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/shower-holders-hangers?up_id=337352609&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__10000389__337352609__static__0.1__158061__7253&from=hp_categories&item_id=337352609&version=v2&params=%7B%22catIdLv1%22%3A%2210000335%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%D8%B4%D8%A7%D9%88%D8%B1+%DA%A9%DB%8C%DA%88%DB%8C+%D8%A7%D9%88%D8%B1+%DB%81%DB%8C%D9%86%DA%AF%D8%B1%D8%B2%22%2C%22categoryId%22%3A%2210000389%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/2be9ccc2508be8f539f3bee203a58a4a.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/dinnerware-sets1?up_id=279323139&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__10000568__279323139__static__0.1__158061__7253&from=hp_categories&item_id=279323139&version=v2&params=%7B%22catIdLv1%22%3A%2210000339%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%DA%A9%DA%BE%D8%A7%D9%86%DB%92+%DA%A9%D8%A7+%D8%B3%DB%8C%D9%B9%22%2C%22categoryId%22%3A%2210000568%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/ddb2e4b88e1e8fbdd56e08fe76641487.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/injury-support-braces?up_id=179632701&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__1698__179632701__static__0.1__158061__7253&from=hp_categories&item_id=179632701&version=v2&params=%7B%22catIdLv1%22%3A%221438%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%D8%B2%D8%AE%D9%85+%DA%A9%DB%8C+%D8%B3%D9%BE%D9%88%D8%B1%D9%B9+%D8%A7%D9%88%D8%B1+%D8%A8%D8%B1%DB%8C%D8%B3%22%2C%22categoryId%22%3A%221698%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/8e0926878d04b1f530ceffa8b720d688.jpg_170x170q80.jpg_.webp
N/A,N/A,https://www.daraz.pk//www.daraz.pk/washer-dryer-combo?up_id=454913491&clickTrackInfo=1b9675c2-d8ef-4542-bc6a-5f979c3303e6__10000314__454913491__static__0.1__158061__7253&from=hp_categories&item_id=454913491&version=v2&params=%7B%22catIdLv1%22%3A%22275%22%2C%22pvid%22%3A%221b9675c2-d8ef-4542-bc6a-5f979c3303e6%22%2C%22src%22%3A%22hp_categories%22%2C%22categoryName%22%3A%22%DA%A9%D9%88%D9%85%D8%A8%D9%88+%D9%88%D8%A7%D8%B4%D8%B1+%DA%88%D8%B1%D8%A7%D8%A6%D8%B1%22%2C%22categoryId%22%3A%2210000314%22%7D&src=hp_categories,N/A,https://img.drz.lazcdn.com/static/pk/p/3bbd17343e469f63b0f991cd16678703.jpg_170x170q80.jpg_.webp
